,,,,,Loan Office Certificates Face Value,Loan Office Certificates Face Value,Loan Office Certificates Specie Value,Loan Office Certificates Specie Value
,,,,,sum,count,sum,count
Jonathan Hoge,Jonathan,Hoge,PA,no,2000,3,126.49723,3
Jonathan Smith,Jonathan,Smith,MA,no,500,2,52.49722,2
Jonathan Sturges,Jonathan,Sturges,CT,yes,2200,5,639.45556,5
Joseph Badger,Joseph,Badger,NH,no,7200,5,1144.64438,5
Joseph Barker,Joseph,Barker,DE,yes,1300,3,838.97222,3
Joseph Blanchard,Joseph,Blanchard,NH,yes,1600,6,50.88889,6
Joseph Brown,Joseph,Brown,SC,no,24800,32,1080.34166,32
Joseph Gilpin,Joseph,Gilpin,MD,yes,200,1,5.0,1
Joseph Heister,Joseph,Heister,PA,no,27800,16,2211.91366,16
Joseph Hosmer,Joseph,Hosmer,MA,yes,300,1,10.62917,1
Joseph Jackson,Joseph,Jackson,MA,yes,4900,13,2279.48337,13
Joseph Jones,Joseph,Jones,VA,no,3000,5,230.58333,5
Joseph Kimball,Joseph,Kimball,NH,yes,200,1,19.0,1
Joseph Mosely,Joseph,Mosely,CT,yes,700,3,285.31253,3
Joseph Moss White,Joseph Moss,White,CT,yes,7400,18,927.1625499999999,18
Joseph Powell,Joseph,Powell,PA,no,1700,3,80.99166000000001,3
Joseph Richardson,Joseph,Richardson,MD,yes,3200,8,300.61109,8
Joseph Wood,Joseph,Wood,MA,yes,3200,16,251.82224,16
Joshua Dunlap,Joshua,Dunlap,CT,yes,500,1,445.9444,1
Joshua Porter,Joshua,Porter,CT,yes,1000,3,1000.0,3
Josiah Bartlett,Josiah,Bartlett,NH,yes,600,3,296.36661999999995,3
Josiah Smith,Josiah,Smith,MA,yes,7900,28,399.39441500000027,28
Lemuel Sandford,Lemuel,Sandford,CT,yes,6100,15,776.9916489999999,15
Leonard Williams,Leonard,Williams,MA,yes,1100,2,99.93194,2
Levin Powell,Levin,Powell,VA,yes,4200,3,341.19168,3
Lewis Morris,Lewis,Morris,NY,yes,2000,2,2000.0,2
Luther Martin,Luther,Martin,Constitution,no,8700,11,760.58475,11
Matthew Adgate,Matthew,Adgate,NY,no,700,3,166.788922,3
Melancton Smith,Melancton,Smith,NY,yes,1000,1,57.90278000000001,1
Meriwether Smith,Meriwether,Smith,VA,no,3500,2,265.02781,2
Miles King,Miles,King,VA,yes,10000,1,595.9722,1
Moses Carr,Moses,Carr,NH,yes,300,1,18.27778,1
Moses Davis,Moses,Davis,MA,yes,700,3,400.34029999999996,3
Nathaniel Robbins,Nathaniel,Robbins,MA,yes,1500,4,102.34582999999999,4
Nehemiah Beardsley,Nehemiah,Beardsley,CT,yes,300,1,300.0,1
Nicholas Gilman,Nicholas,Gilman,Constitution,yes,2000,2,968.47781,2
Nicholas Lewis Sewall,Nicholas Lewis,Sewall,MD,yes,5000,8,177.875,8
Nicholas Lutz,Nicholas,Lutz,PA,no,500,1,12.5,1
Nichols William,Nichols,William,RI,no,6200,11,221.39163,11
Oliver Ellsworth,Oliver,Ellsworth,Constitution,no,300,1,28.320829999999997,1
Peter Lefferts,Peter,Lefferts,NY,yes,2000,4,50.0,4
Peter Osgood,Peter,Osgood,MA,no,3400,7,951.0860200000002,7
Peter Smith,Peter,Smith,SC,yes,5700,7,264.09306000000004,7
Peter Van Ness,Peter,Van Ness,NY,no,9100,10,1469.2803699999997,10
Peter Vrooman,Peter,Vrooman,NY,did not vote,1000,1,77.94444,1
Philip Livingston,Philip,Livingston,NY,yes,400,1,400.0,1
Reynolds Joseph,Reynolds,Joseph,RI,no,5200,6,424.40000999999995,6
