,delegate name,First Name,Last Name,delegate_state,sign,Dollars_sum,Dollars_count,90th_sum,90th_count,Total_assets,sign_coded
257,John Pratt,John,Pratt,MA,no,1700,3,1161.18188,3,1712.902020888889,0.0
258,John Ramsay,John,Ramsay,NC,yes,3400,4,211.936109,4,3402.3548456555554,1.0
259,John Rhea,John,Rhea,NC,yes,300,1,28.504170000000002,1,300.316713,1.0
260,John Richards,John,Richards,PA,yes,5400,9,369.62364,9,5404.106929333333,1.0
261,John Rutherford,John,Rutherford,GA,yes,3200,16,246.22224000000003,16,3202.7358026666666,1.0
262,John Schenck,John,Schenck,NY,yes,11300,17,5906.8944599999995,17,11365.632160666666,1.0
263,John Scott,John,Scott,NC,no,7500,14,399.82223000000005,14,7504.442469222222,0.0
264,John Simmons,John,Simmons,SC,yes,1300,3,131.29305,3,1301.4588116666666,1.0
265,John Skinner,John,Skinner,NC,yes,203400,313,5718.859901000001,313,203463.54288778888,1.0
266,John Smith,John,Smith,NY,yes,24900,43,2085.815269999999,43,24923.175725222223,1.0
267,John Sprague,John,Sprague,MA,yes,38700,55,9634.341729,55,38807.04824143333,1.0
268,John Steele,John,Steele,VA,no,4700,8,2886.3444299999996,8,4732.070493666667,0.0
269,John Stevens,John,Stevens,NJ,yes,399300,344,27727.495403000015,344,399608.08328225557,1.0
270,John Stewart,John,Stewart,MD,yes,11300,15,345.30137999999994,15,11303.836682,1.0
271,John Stringer,John,Stringer,VA,yes,1800,2,174.87497,2,1801.9430552222223,1.0
272,John Swan,John,Swan,NC,yes,17000,14,2212.0874999999996,14,17024.57875,1.0
273,John Taylor,John,Taylor,MA,no,28500,31,8154.952690000001,31,28590.610585444443,0.0
274,John Taylor Gilman,John Taylor,Gilman,NH,yes,29000,32,8205.452690000002,32,29091.171696555557,1.0
275,John Thomas,John,Thomas,SC,yes,21500,31,2950.91383,31,21532.787931444444,1.0
276,John Thompson,John,Thompson,NC,yes,26500,44,2625.8361400000013,44,26529.17595711111,1.0
277,John Treadwell,John,Treadwell,CT,yes,1000,3,25.0,3,1000.2777777777778,1.0
278,"John Tyler, Sr.",John,"Tyler, Sr.",VA,no,200,1,79.41944000000001,1,200.88243822222222,0.0
279,John Wallace,John,Wallace,NC,yes,11100,9,1171.0111700000002,9,11113.011235222222,1.0
